id,naam,afbeelding,beschrijving,aantal,minOpbrengst,maxOpbrengst,opbrengstEenheid,breedte,hoogte,laag,terrein,correctTerreinen,tip,eigenschappen,combinaties
"walnootboom","Walnootboom","plant-walnootboom.png","Grote Europese notenboom die de hoogste laag van het voedselbos vormt en schaduw geeft.","1","10","50","kg","3","3","Tussenboom","Heuvel","heuvel","Een volwassen walnootboom kan tot 50 kg noten per jaar produceren, genoeg voor een heel gezin.","Walnoten zijn eetbaar en zitten boordevol eiwitten, gezonde vetten en vitamines. De boom begint pas na 5 tot 10 jaar te produceren, maar kan daarna honderden jaren meegaan. Een volwassen boom levert tot 50 kg noten per jaar. Het hout is waardevol en wordt gebruikt voor meubels.","hazelaar::samen vormen ze de boomlaag||daslook::daslook gedijt in zijn schaduw"
"hazelaar","Hazelaar","plant-hazelaar.png","Inheemse struik die de ruimte tussen grote bomen en kruiden opvult.","2","2","8","kg","2","2","Grote struik","Grasland/schaduw","grasland|schaduw","Hazelnoten zijn een van de rijkste plantaardige eiwitbronnen.","Hazelnoten zijn een van de rijkste plantaardige eiwitbronnen. De hazelaar bloeit al vroeg met lange gele katjes. Dat maakt hem belangrijk voor vroege bijen en hommels. Vogels eten de noten en de twijgen worden traditioneel gebruikt voor vlechtwerk.","walnootboom::vormt samen de tussenlaag||daslook::kruiden groeien beschermd eronder"
"wilde_appels","Wilde Appel","plant-wilde-appel.png","Inheemse tussenboom met kleine zure appels voor compote of cider.","2","5","30","kg","2","2","Tussenboom","Grasland/oever","grasland|oever","De wilde appel is beschermd in Nederland. Door hem te planten help je deze bedreigde soort herstellen.","De appeltjes zijn klein en zuur, maar perfect voor compote, cider of als smaaklaag in gerechten. De boom wordt tot 10 meter hoog en leeft tientallen jaren. De wilde appel is beschermd in Nederland en bloeit in april en mei.","daslook::kruiden groeien beschermd eronder"
"vlier","Vlier","plant-vlier.png","Snelgroeiende oeverstruik met witte bloesemschermen en donkerpaarse bessen.","3","2","10","kg","2","1","Struik","Oever","oever","Van de witte bloesemschermen in juni maak je vlierbloesemsiroop.","Van de witte bloesemschermen maak je vlierbloesemsiroop. De donkerpaarse bessen zijn na koken eetbaar als jam of sap. Rauw zijn ze licht giftig. De vlier kan tot 7 meter hoog worden en tientallen jaren oud worden.","wilde_aardbeien::samen trekken ze vogels en insecten aan op de oever||bosaardbei::samen vormen ze de Oevercombo"
"daslook","Daslook","plant-daslook.png","Kruid met knoflookgeur dat van nature onder bomen in vochtige bossen groeit.","5","0.2","1","kg","1","1","Kruidlaag","Schaduw","schaduw","Daslook lijkt op het giftige lelietje-van-dalen. Ruik altijd even voor je plukt.","Alle delen van de plant zijn eetbaar. Bladeren, bloemen en bollen smaken mild naar knoflook. Daslook verbetert de bodemstructuur, houdt vocht vast en is een vroege nectarbron voor bijen.","walnootboom::vormt samen de tussenlaag||hazelaar::gedijt in zijn schaduw"
"wilde_aardbeien","Wilde Aardbeien","plant-wilde-aardbeien.png","Bodembedekker met witte bloemen en geurige vruchten die zich via uitlopers verspreidt.","6","0.2","1","kg","1","1","Kruidlaag","Heuvel/oever","grasland|oever","Wilde aardbeien bevatten per gram meer aroma- en smaakstoffen dan gekweekte rassen.","Wilde aardbeien bevatten veel aroma- en smaakstoffen. Ze rijpen in juni en juli. De vruchten zijn geliefd bij vogels en kleine zoogdieren. De bloemen trekken kleine bijen en zweefvliegen aan.","vlier::samen rijk habitat op de oever"
"wilde_knoflook","Wilde Knoflook","plant-wilde-knoflook.png","Bolgewas dat de akker tegen insectenplagen helpt beschermen.","5","0.1","0.5","kg","1","1","Wortellaag","Akker","akker","Knoflook wordt al meer dan 5000 jaar gebruikt als voedsel en geneesmiddel.","Knoflook wordt al meer dan 5000 jaar gebruikt als voedsel en geneesmiddel. De bollen worden ondergronds gevormd en geoogst in de zomer. Knoflook verbetert de bodemkwaliteit en werkt antibacterieel.","brandnetel::samen beschermen ze de akker"
"brandnetel","Brandnetel","plant-brandnetel.png","Inheems kruid dat de bodem met stikstof verrijkt en jonge aanplant beschermt.","5","0.5","3","kg","1","1","Kruidlaag","Oever/Akker","akker|oever","Meer dan 40 insectensoorten zijn volledig afhankelijk van de brandnetel.","Jong geplukt of gekookt zijn de bladeren eetbaar en voedzaam. De brandharen verdwijnen door koken of drogen. Brandnetel groeit op stikstofrijke, vochtige grond en laat daarmee zien hoe gezond de bodem is.","wilde_knoflook::samen beschermen ze de akker"
"elstarboom","Walnootboom","plant-walnootboom.png","Grote notenboom die in dit tutoriallevel laat zien hoe een brede plant meerdere vakjes bezet.","2","8","16","kg","2","2","Kroonboom","Grasland","grasland","Een walnootboom geeft veel schaduw en vormt een herkenbare kroonlaag in een voedselbos.","Walnoten zijn eetbaar en zitten boordevol eiwitten, gezonde vetten en vitamines. In dit tutoriallevel gebruik je de boom als oefenplant om terrein, footprint en invloedszones te leren.","witte_klaver::trekt bestuivers aan rondom de boom"
"witte_klaver","Witte Klaver","plant-hazelaar.png","Inheemse kruiper met witte bloempjes die bijen en hommels aantrekken.","4","0.1","0.4","kg","1","1","Kruidlaag","Grasland","grasland","Witte klaver kan tot 212 kg stikstof per hectare per jaar binden via bacterien in zijn wortels - genoeg om kunstmest te vervangen.","Klaver bindt stikstof uit de lucht via bacterien in zijn wortels. Dat verbetert de bodem zonder kunstmest. In de invloedszone van een appelboom trekt klaver actief bestuivers aan die ook de appelbloesem bezoeken. De stengels kruipen over de grond en wortelen telkens opnieuw.","elstarboom::samen vormen ze de Bestuiverscombo"
"bosaardbei","Bosaardbei","plant-wilde-aardbeien.png","Inheemse bodembedekker met kleine geurige vruchten en witte bloemen.","4","0.2","1","kg","1","1","Bodembedekker","Grasland/oever","grasland|oever","De wilde aardbei is NIET de voorouder van de supermarktaardbei. Die stamt af van twee Amerikaanse soorten die in de 18e eeuw werden gekruist.","Wilde aardbeien bevatten per gram meer aroma dan gekweekte rassen. Ze rijpen in juni en juli en zijn geliefd bij vogels en egels. De plant is winterhard en komt elk jaar terug. In combinatie met vlier op de oever vormen ze samen een rijke microhabitat voor insecten en vogels.","vlier::samen vormen ze de Oevercombo"
"level1_vlier","Vlier","plant-vlier.png","Snelgroeiende struik langs oevers met witte bloesemschermen en donkerpaarse bessen.","2","1","4","kg","1","2","Struik","Oever","oever","Van vlierbloesemsiroop maak je frisdrank door het aan te lengen met bruiswater en citroen. Rauw zijn de bessen licht giftig - na koken veilig.","Van de witte bloesemschermen maak je vlierbloesemsiroop. De bessen zijn na koken eetbaar als jam of sap - rauw zijn ze licht giftig. Meer dan 70 insectensoorten zijn afhankelijk van de vlier. Verspreiding gaat via vogels die dol zijn op de bessen.","bosaardbei::samen vormen ze de Oevercombo"
"kersenboom","Kersenboom","plant-kersenboom.png","Vruchtboom die de hoogste laag van dit level vormt en in het voorjaar wit bloeit.","1","5","20","kg","2","2","Kroonlaag","Grasland","grasland","Sommige kersenbomen hebben een andere kersenboom in de buurt nodig om vrucht te kunnen zetten","De kersenboom bloeit vroeg in het voorjaar, wat hem belangrijk maakt voor de eerste bijen van het seizoen. Veel kersensoorten hebben een andere kersenboom in de buurt nodig om vruchten te kunnen zetten. De boom geeft lichte, wisselende schaduw die planten met minder felle zon nodig hebben ten goede komt.","munt::profiteert van de schaduw||klaver::verbetert de bodem rond de boom"
"bramenstruik","Bramenstruik","plant-bramenstruik.png","Snelgroeiende doornstruik die van nature langs bosranden en waterkanten groeit.","3","1","5","kg","1","1","Struik","Oever","oever","Bramen zijn familie van rozen - vandaar de doorns.","Bramen bloeien in de vroege zomer en dragen vrucht in augustus en september. De struik houdt van vochtige grond en verdraagt daardoor goed een plek aan de oever. Bramen zijn een belangrijke voedselbron voor vogels en insecten, en de dichte doornige groei biedt ook beschutting.","munt::beide houden van een vochtige bodem"
"frambozenstruik","Frambozenstruik","plant-frambozenstruik.png","Struik die uitloopt via ondergrondse uitlopers en in de zomer zoete rode vruchten geeft.","3","1","4","kg","1","1","Struik","Grasland","grasland","Een frambozenstruik kan zich via wortelscheuten binnen een paar jaar verdubbelen.","Frambozen groeien het best op een plek met volle zon tot lichte schaduw. De struik verspreidt zich vanzelf door nieuwe scheuten te vormen vanuit de wortels, waardoor een frambozenstruik na een paar jaar al snel een kleine haag wordt. De vruchten zijn geliefd bij vogels.","klaver::beide gedijen op open, zonnige grond"
"munt","Munt","plant-munt.png","Kruid dat zich snel verspreidt via ondergrondse wortelstokken en het best groeit op een vochtige, half beschaduwde plek.","4","0.1","0.5","kg","1","1","Kruidlaag","Schaduw","schaduw","De geur van munt houdt sommige plaaginsecten op afstand.","Munt groeit zo agressief dat hij in een border al snel andere planten verdringt als hij niet wordt afgeperkt. In een voedselbos is dat juist bruikbaar: als bodembedekker houdt munt de grond vochtig en onderdrukt hij onkruid. De geur van munt houdt bovendien sommige plaaginsecten op afstand.","kersenboom::gedijt in zijn schaduw||bramenstruik::beide houden van vochtige grond"
"klaver","Klaver","plant-klaver.png","Laagblijvende bodembedekker die de grond verrijkt met stikstof.","4","0.1","0.4","kg","1","1","Bodembedekker","Akker","akker","Klaver bindt stikstof uit de lucht en heeft daardoor geen kunstmest nodig.","Klaver leeft in symbiose met bacteriën in kleine knolletjes aan de wortels, die stikstof uit de lucht omzetten in een vorm die planten kunnen opnemen. Daarmee verbetert klaver de bodem voor buurplanten zonder dat er kunstmest nodig is. De bloemen trekken daarnaast bijen en hommels aan.","kersenboom::verrijkt de bodem rond de boom"
